epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5345,2.1943,4.28514,5.39338,2.0468,0.62477,0.06495,0.02768,0.01598,0.61727,0.04272,0.01941,0.00978,2.16714,3.88121,3.72316,2.06562,0.00016875,0.00016875,0.00016875
2,30.5736,2.06041,3.02812,3.66528,1.81372,0.17955,0.11789,0.00798,0.00345,0.17306,0.02071,0.00221,0.00064,3.1295,193.932,167.44,3.25474,0.000340347,0.000340347,0.000340347
3,45.788,1.9294,2.9543,3.51636,1.80142,0.36071,0.07714,0.02022,0.00881,0.35624,0.05387,0.01377,0.00471,2.31199,37.6308,43.5149,2.43507,0.000508479,0.000508479,0.000508479
4,60.9572,1.93407,3.21952,3.33704,1.76188,0.2961,0.14608,0.02774,0.00895,0.28967,0.07736,0.01928,0.00495,2.37167,8.11401,8.71882,2.43428,0.000606437,0.000606437,0.000606437
5,76.4507,1.99985,3.01471,3.20909,1.82124,0.28109,0.12326,0.01585,0.00632,0.2727,0.05773,0.00922,0.00203,2.39824,4.9109,9.77086,2.40231,0.00060025,0.00060025,0.00060025
6,91.63,1.92697,2.84399,3.06913,1.77651,0.28961,0.15368,0.04509,0.01961,0.28558,0.11128,0.03496,0.01219,2.10507,3.66949,4.45109,2.11751,0.000594062,0.000594062,0.000594062
7,107.238,1.88904,2.87475,3.03605,1.72097,0.22221,0.13424,0.05351,0.0209,0.20856,0.095,0.04541,0.01632,2.03168,3.24433,3.25207,2.15307,0.000587875,0.000587875,0.000587875
8,122.905,1.80234,2.69266,2.76414,1.70808,0.26673,0.2308,0.08316,0.04185,0.25099,0.19671,0.07052,0.03118,1.83112,2.91281,3.04453,1.86704,0.000581687,0.000581687,0.000581687
9,138.697,1.69947,2.61686,2.66599,1.57528,0.24382,0.18507,0.08585,0.04285,0.23209,0.17789,0.07486,0.03413,1.84367,2.65974,2.72917,1.79638,0.0005755,0.0005755,0.0005755
10,154.311,1.757,2.75929,2.73477,1.62773,0.30532,0.1256,0.05184,0.02413,0.30427,0.11298,0.04335,0.01719,1.97684,3.00841,3.03663,1.83071,0.000569313,0.000569313,0.000569313
11,169.342,1.71048,2.60914,2.54545,1.61334,0.3274,0.18039,0.07597,0.03656,0.32053,0.17181,0.06871,0.02992,1.78341,2.43769,2.86653,1.75104,0.000563125,0.000563125,0.000563125
12,184.27,1.62963,2.58453,2.48101,1.58596,0.31376,0.16024,0.05775,0.02412,0.30328,0.15403,0.04584,0.01553,2.04545,2.81625,3.01575,1.91002,0.000556938,0.000556938,0.000556938
13,199.468,1.64275,2.52698,2.46139,1.55983,0.27008,0.2192,0.10392,0.05622,0.2651,0.20504,0.08853,0.03628,1.54942,2.20199,2.39759,1.55817,0.00055075,0.00055075,0.00055075
